number,hex,name
000 15 00,252626,Ink black
000 20 00,2E2F2F,Slate black
000 25 00,3B3C3D,Onyx black
000 30 00,444545,Medium black
000 35 00,505151,Briquette grey
000 40 00,5C5C5C,Dark grey
000 45 00,696969,Architecture grey
000 50 00,737575,Steel grey
000 55 00,808081,Medium grey
000 60 00,8C8D8D,Ash grey
000 65 00,9C9C9D,Mortar grey
000 70 00,A9AAAA,Light grey
000 75 00,B7B8B8,Marble grey
000 80 00,C6C6C5,Foggy grey
000 85 00,D3D4D2,Shadow white
000 90 00,E0E1DF,Winter white
010 20 10,3C2D2F,Wenge black
010 20 15,3F272C,Cherry black
010 20 20,44242B,Dark mahogany
010 20 25,48202B,Rusty red
010 30 10,544244,Laurel nut rusty brown
010 30 15,573E43,Night mauve
010 30 20,5D3B42,Pinkish brown
010 30 25,633640,Chestnut red
010 30 30,68323F,Leather red
010 30 35,6A2B3B,Anthracite red
010 30 40,732139,Brown magenta
010 30 44,79143B,Atlas red
010 40 10,6A595B,Caput mortuum grey red
010 40 15,705458,Rust brown
010 40 20,765258,Sunset red
010 40 25,7C4E57,Mineral red
010 40 30,824955,Dull magenta
010 40 35,854452,Velvet red
010 40 40,8B3D51,Algae red
010 40 45,933851,Raspberry ice cream red
010 40 50,98304F,Fuchsia red
010 40 53,9B274D,Primal red
010 50 10,827074,Old mahogany
010 50 15,886C71,Dull dusky pink
010 50 20,8D686F,Brickwork red
010 50 25,95646E,Matte carmine
010 50 30,9D5F6C,Marble red
010 50 35,A15A6A,Geranium red
010 50 40,A6576A,Slate pink
010 50 45,AB5168,Tulip red
010 50 50,B54867,Vibrant red
010 60 10,9C898C,Lilac grey
010 60 15,A4868B,Ice orchid red
010 60 20,AB8289,Lime pink
010 60 25,B27C88,Lipstick pink
010 60 30,B87886,Japanese coral
010 60 35,C07384,Rose red
010 60 40,C66E82,Strawberry milkshake red
010 60 45,CE6980,Luminous pink
010 70 10,B9A4A7,Pale mauve
010 70 15,BFA0A5,Powder rose
010 70 20,C89CA4,Silver rose
010 70 25,CF97A2,Flamingo pink
010 70 30,D594A0,Cherry blossom pink
010 70 35,DD8E9D,Baby pink
010 80 10,D5BEC0,Mud pink
010 80 15,DCBABF,Ice hot pink
010 80 20,E5B7BE,Pastel pink
010 85 05,D8CECF,Pearl rose
010 85 10,DECACE,Salmon rose
010 85 15,E7C8CE,Milkshake pink
010 85 20,EEC7CE,Carnation pink
010 90 05,EBDEDC,Rose cream
010 90 10,EDD8D6,Light apricot
010 93 05,EDE3E5,White-red
020 20 05,352E2E,Deep brown
020 20 10,3B2A2B,Night red
020 20 20,452629,Dark red brown
020 20 29,4F1A23,Burgundy
020 30 05,4B4343,Rhodonite brown
020 30 10,51403F,Budapest brown
020 30 20,5D3A3B,Kremlin red
020 30 30,653035,Crystal dark red
020 30 40,722432,Amaranth blossom
020 30 48,7A0B2D,Sweet cherry red
020 40 05,645B5B,Greyish brown
020 40 10,685757,Nut brown
020 40 20,745152,Antique red
020 40 30,7F494C,Hermosa pink
020 40 40,893E47,October red
020 40 50,932E40,Bright red
020 50 05,7C7372,Zircon grey
020 50 10,816F6F,Sandstone red grey
020 50 20,8E6969,Red grey
020 50 30,9A6163,Venetian red
020 50 40,A4565E,Alsike clover red
020 50 50,B14B59,Flame red
020 50 58,BF4355,Lingonberry red
020 60 05,948B8B,Globe thistle grey rose
020 60 10,9B8888,Tin pink
020 60 20,A88283,Retro pink
020 60 30,B5797C,Begonia rusty rose
020 60 40,C27078,Lotus red
020 70 05,B0A6A6,Fashion mauve
020 70 10,B5A2A2,Tourmaline mauve
020 70 20,C79D9F,Rosewood apricot
020 70 30,D59598,Marker pink
020 80 05,CEC3C2,Aurora grey
020 80 10,D3BDBD,Quartz rose
020 80 20,E3B7BA,Marzipan pink
020 85 05,DACFCE,Almond blossom pink
020 85 10,E0CACA,Salmon cream
020 85 20,F1C7C6,Elegant light rose
020 90 05,ECE1DC,Mussel white
020 90 10,EDDBD7,Peach cream
020 93 05,F1E4E1,Blossom white
030 30 10,514340,Laurel nut rusty brown
030 30 20,5B3C38,Autumn leaf red
030 30 30,653430,Macore veneer red
030 30 40,722B2C,Crimson red
030 30 45,742529,Blood red
030 40 10,665855,Peat red brown
030 40 20,75544F,Cranberry red
030 40 30,804D48,Brick brown
030 40 40,8A433F,Spicy red
030 40 50,963838,Hibiscus red
030 40 60,9F2833,Emperor cherry red
030 50 10,816F6C,Earth red
030 50 20,8C6A64,Terracotta red brown
030 50 30,99635C,Clay red
030 50 40,A65C55,Vermilion red
030 50 50,B0524E,Maple red
030 50 60,BC4444,Holland red
030 60 10,9A8986,Storm red
030 60 20,A8837E,Desert red
030 60 30,B77674,Antique pink
030 60 40,C1756E,Light tomato
030 60 50,CD6B65,Calypso red
030 70 10,B6A3A0,Florida grey
030 70 20,C59B95,Dull apricot
030 70 30,D3958D,Salmon pink red
030 70 40,E08D85,Flamingo red
030 80 10,D3BDBA,Salt pink
030 80 20,E3B6B2,Magnolia pink
030 85 05,D9CCC7,Almond cream
030 85 10,DECAC5,Soft ice rose
030 85 20,ECC9BF,Peach red
030 90 05,EADEDA,Antique white
030 90 10,F0DDD6,Wedding pink
030 93 05,F4E8E4,Parchment white
040 20 19,442B21,Wild brown
040 30 05,4B4441,Basalt black
040 30 10,4E413A,Caviar black
040 30 20,593D32,Coffee brown
040 30 30,633729,Root brown
040 30 40,6D3425,Corrosion red
040 40 05,635B58,Ash brown
040 40 10,675952,Somali brown
040 40 20,72554A,Vandyck brown
040 40 30,7B4E3E,Chestnut brown
040 40 40,854532,Brick red
040 40 50,8F412A,Henna red
040 40 60,96341E,Copper red
040 40 67,A03326,China red
040 50 05,7B7370,Nomad grey
040 50 10,80716A,Umbra sand
040 50 20,8C6C60,Agate brown
040 50 30,986655,Rust coloured
040 50 40,A1604B,Ant red
040 50 50,AD5840,English red
040 50 60,BB5237,Fox red
040 50 70,BF4A30,Pompeii red
040 60 05,958C89,Warm grey
040 60 10,9B8A82,Light caramel
040 60 20,A58376,Sienna yellow
040 60 30,B3806D,Cedar red
040 60 40,BC7961,Terra orange
040 60 50,CA7357,Mandarin orange
040 60 60,D26C4D,Coral orange
040 70 05,AFA6A3,Passepartout grey
040 70 10,B7A49C,Mohair mauve
040 70 20,C59F91,Soft sienna
040 70 30,D19986,Industrial rose
040 70 40,D7957C,Apricot red
040 70 50,E78D6F,Fruit red
040 80 05,CDC3BF,Natural silk grey
040 80 10,D5C2B9,Thulite rose
040 80 20,E5BEAF,Madder orange
040 80 30,F0B8A3,Nature apricot
